962,0 9,33274080418 3,35046838462 11,4049429107 0,0538797 0,3618 0,349726 0,361651 S
495,0 2,25761691816 8,50449041059 19,3423977099 0,0540142 0,360358 0,34662 0,355257 S
689,0 2,0044339853 9,25130841336 19,4123593814 0,0540142 0,360358 0,34662 0,355257 S
806,0 2,37124014317 9,26646637116 19,4400961477 0,0540142 0,360358 0,34662 0,355257 S
383,0 2,0 8,67023028316 21,5267482929 0,0540452 0,368653 0,354898 0,36404 S
708,0 8,87369260768 3,49958500162 11,0916308512 0,0543642 0,359055 0,346972 0,358829 S
101,0 2,0739297736 9,0739544795 20,6336362149 0,0544515 0,364852 0,351061 0,359969 S
80,0 2,37922073414 9,21306453207 21,9803739685 0,0547318 0,370092 0,356346 0,365551 N
71,0 2,0 9,26020416974 20,078227397 0,0548792 0,362843 0,349081 0,357856 S
285,0 2,07089133859 8,9143025676 19,474755532 0,054945 0,360748 0,347019 0,355653 S
352,0 2,0 8,65190884775 19,4734780239 0,054945 0,360748 0,347019 0,355653 S
571,0 2,42822356233 8,676566748 20,4860987136 0,0552111 0,364453 0,350672 0,359591 N
980,0 2,05560964054 9,02466311136 19,1243186092 0,0557442 0,359637 0,34594 0,354555 S
112,0 2,02701480688 8,5869488348 19,3139636962 0,0559449 0,360188 0,346436 0,355058 N
147,0 2,03025464114 9,29740684933 18,039553153 0,0566368 0,35522 0,341588 0,349893 S
793,0 2,48088434623 9,08922441877 18,0809920773 0,0566368 0,35522 0,341588 0,349893 S
893,0 2,00024031881 8,78535397348 18,1086660909 0,0566368 0,35522 0,341588 0,349893 S
595,0 2,0 8,94768647779 19,0134812321 0,0573258 0,35901 0,345286 0,353856 N
975,0 2,0 8,61712614497 18,34176404 0,0575328 0,356192 0,342525 0,35095 S
243,0 2,0 9,46117616812 17,8269289068 0,0578938 0,354069 0,340461 0,348679 S
457,0 2,07465763656 9,3493594148 17,8277163644 0,0578938 0,354069 0,340461 0,348679 S
638,0 2,0 8,51402626148 17,8982293336 0,0578938 0,354069 0,340461 0,348679 S
392,0 2,23282197078 8,5566526233 17,9618381175 0,0579543 0,354611 0,340989 0,349261 S
59,0 2,0 8,83984017717 18,5934827218 0,058104 0,357468 0,343791 0,352303 N
703,0 8,67957903435 3,46740299258 10,3704185678 0,058908 0,353311 0,341212 0,352759 N
93,0 2,1398186064 8,75508125225 17,1282476796 0,059576 0,350753 0,33725 0,345222 S
142,0 2,0 9,17210486924 17,0647426926 0,059576 0,350753 0,33725 0,345222 S
356,0 2,0 8,59475551685 17,7548394545 0,0595813 0,353595 0,339995 0,348171 N
598,0 2,00143454508 8,5177144523 17,7755499225 0,0595813 0,353595 0,339995 0,348171 S
81,0 2,05117173189 8,5153504183 16,6882665691 0,059844 0,348518 0,335077 0,342976 S
998,0 2,0 8,54737447279 16,628940857 0,059844 0,348518 0,335077 0,342976 S
799,0 2,00109733693 9,45321092094 16,9377772992 0,0598636 0,349609 0,336138 0,344068 S
885,0 2,07701808409 9,08750475324 16,8485627048 0,0598636 0,349609 0,336138 0,344068 S
684,0 2,0 8,718312539 17,3893954221 0,0602002 0,3522 0,338654 0,346685 N
370,0 2,0 8,72163419855 16,477248251 0,0611138 0,34724 0,333846 0,341689 S
565,0 2,08802287521 8,67511602692 16,4102146985 0,0611138 0,34724 0,333846 0,341689 S
790,0 2,4198345277 8,5856742829 16,4816037757 0,0611138 0,34724 0,333846 0,341689 S
460,0 2,33769365218 8,74965341227 16,600279976 0,0616522 0,347807 0,334394 0,34227 S
100,0 2,0 9,40255816942 16,1588601435 0,0618038 0,345658 0,332253 0,339945 S
685,0 2,00225362572 8,93557973971 16,1669327666 0,0618038 0,345658 0,332253 0,339945 S
870,0 2,12350792559 9,20324333551 16,1244617068 0,0618038 0,345658 0,332253 0,339945 S
252,0 2,0 8,41076090952 17,6230811316 0,0627446 0,351647 0,337268 0,345823 N
5,0 2,0 9,07714845395 15,7049106928 0,0629015 0,342922 0,329586 0,337056 S
418,0 2,112433928 8,88856968143 15,6947963955 0,0629015 0,342922 0,329586 0,337056 S
527,0 2,17972647235 9,2990070625 15,6728184427 0,0629015 0,342922 0,329586 0,337056 S
170,0 2,01870949743 8,65744494407 15,8463584406 0,0629406 0,343618 0,330286 0,337829 S
380,0 2,3992612718 8,62772423074 15,8402454089 0,0629406 0,343618 0,330286 0,337829 S
686,0 2,00423026826 8,85586164306 15,8110225031 0,0629406 0,343618 0,330286 0,337829 S
979,0 2,0107479907 8,53707495338 15,7994382476 0,0629406 0,343618 0,330286 0,337829 S
257,0 2,03668536469 8,01514290359 16,7109381832 0,0634542 0,347473 0,333111 0,341571 N
67,0 2,0 6,49492073598 14,8477451981 0,0635352 0,334075 0,319009 0,328842 S
324,0 2,0 6,41641317109 14,8671844112 0,0635352 0,334075 0,319009 0,328842 S
