301 3 2 0,07857288883 1,08786 0,000329964 0,000184893 0,000199624 S
302 3 2 0,0962944302721 1,08786 0,000329964 0,000184893 0,000199624 S
303 3 2 0,0886280743615 1,08786 0,000329964 0,000184893 0,000199624 S
304 3 2 0,0891736208341 1,08786 0,000329964 0,000184893 0,000199624 S
305 3 2 0,0814445343726 1,08786 0,000329964 0,000184893 0,000199624 S
306 3 2 0,088372782905 1,08786 0,000329964 0,000184893 0,000199624 S
307 3 2 0,0917995245044 1,08786 0,000329964 0,000184893 0,000199624 S
308 3 2 0,10601447307 1,08786 0,000329964 0,000184893 0,000199624 S
309 3 2 0,0847114933883 1,08786 0,000329964 0,000184893 0,000199624 S
310 3 2 0,108688437132 1,08786 0,000329964 0,000184893 0,000199624 S
311 3 2 0,0755634120675 1,08786 0,000329964 0,000184893 0,000199624 S
312 3 2 0,0778353881482 1,08786 0,000329964 0,000184893 0,000199624 S
313 3 2 0,0882649269638 1,08786 0,000329964 0,000184893 0,000199624 S
314 3 2 0,0935817508834 1,08786 0,000329964 0,000184893 0,000199624 S
315 3 2 0,101174496966 1,08786 0,000329964 0,000184893 0,000199624 S
316 3 2 0,0990719074385 1,08786 0,000329964 0,000184893 0,000199624 S
317 3 2 0,0995324924728 1,08786 0,000329964 0,000184893 0,000199624 S
318 3 2 0,104199342578 1,08786 0,000329964 0,000184893 0,000199624 S
319 3 2 0,0824827032117 1,08786 0,000329964 0,000184893 0,000199624 S
320 3 2 0,106860287159 1,08786 0,000329964 0,000184893 0,000199624 S
321 3 2 0,0809683596925 1,08786 0,000329964 0,000184893 0,000199624 S
322 3 2 0,0924095114868 1,08786 0,000329964 0,000184893 0,000199624 S
323 3 2 0,0844102679141 1,08786 0,000329964 0,000184893 0,000199624 S
324 3 2 0,0913515417794 1,08786 0,000329964 0,000184893 0,000199624 S
325 3 2 0,105346596022 1,08786 0,000329964 0,000184893 0,000199624 S
326 3 2 0,0985511573873 1,08786 0,000329964 0,000184893 0,000199624 S
327 3 2 0,106083283978 1,08786 0,000329964 0,000184893 0,000199624 S
328 3 2 0,0891573439754 1,08786 0,000329964 0,000184893 0,000199624 S
329 3 2 0,103497360177 1,08786 0,000329964 0,000184893 0,000199624 S
330 3 2 0,089120643865 1,08786 0,000329964 0,000184893 0,000199624 S
331 3 2 0,0945863508442 1,08786 0,000329964 0,000184893 0,000199624 S
332 3 2 0,101854548143 1,08786 0,000329964 0,000184893 0,000199624 S
333 3 2 0,0818225484839 1,08786 0,000329964 0,000184893 0,000199624 S
334 3 2 0,0824234553327 1,08786 0,000329964 0,000184893 0,000199624 S
335 3 2 0,0892227622302 1,08786 0,000329964 0,000184893 0,000199624 S
336 3 2 0,0884171707184 1,08786 0,000329964 0,000184893 0,000199624 S
337 3 2 0,102152846244 1,08786 0,000329964 0,000184893 0,000199624 S
338 3 2 0,103395018024 1,08786 0,000329964 0,000184893 0,000199624 S
339 3 2 0,0885520046687 1,08786 0,000329964 0,000184893 0,000199624 S
340 3 2 0,112165659421 1,08786 0,000329964 0,000184893 0,000199624 S
341 3 2 0,0916615460711 1,08786 0,000329964 0,000184893 0,000199624 S
342 3 2 0,0870176352768 1,08786 0,000329964 0,000184893 0,000199624 S
343 3 2 0,0774546667701 1,08786 0,000329964 0,000184893 0,000199624 S
344 3 2 0,110573895974 1,08786 0,000329964 0,000184893 0,000199624 S
345 3 2 0,0848982529745 1,08786 0,000329964 0,000184893 0,000199624 S
346 3 2 0,0909868775792 1,08786 0,000329964 0,000184893 0,000199624 S
347 3 2 0,109317965175 1,08786 0,000329964 0,000184893 0,000199624 S
348 3 2 0,107495899085 1,08786 0,000329964 0,000184893 0,000199624 S
349 3 2 0,08511991125 1,08786 0,000329964 0,000184893 0,000199624 S
350 3 2 0,07857288883 1,08786 0,000329964 0,000184893 0,000199624 S
351 3 2 0,0962944302721 1,08786 0,000329964 0,000184893 0,000199624 S
352 3 2 0,0886280743615 1,08786 0,000329964 0,000184893 0,000199624 S
353 3 2 0,0891736208341 1,08786 0,000329964 0,000184893 0,000199624 S
354 3 2 0,0814445343726 1,08786 0,000329964 0,000184893 0,000199624 S
355 3 2 0,088372782905 1,08786 0,000329964 0,000184893 0,000199624 S
356 3 2 0,0917995245044 1,08786 0,000329964 0,000184893 0,000199624 S
357 3 2 0,10601447307 1,08786 0,000329964 0,000184893 0,000199624 S
358 3 2 0,0847114933883 1,08786 0,000329964 0,000184893 0,000199624 S
359 3 2 0,108688437132 1,08786 0,000329964 0,000184893 0,000199624 S
360 2 6 0,0389644204129 1,03646 0,000641662 0,000514385 0,000524924 S
361 2 6 0,028621417168 1,03646 0,000641662 0,000514385 0,000524924 S
362 2 6 0,023450483699 1,03646 0,000641662 0,000514385 0,000524924 S
363 2 6 0,105036047864 1,03646 0,000641662 0,000514385 0,000524924 S
364 2 6 0,00600491182979 1,03646 0,000641662 0,000514385 0,000524924 S
365 2 6 0,00842680545336 1,03646 0,000641662 0,000514385 0,000524924 S
